observation_date,rate,rate-2
3/1/2019,4.856,1.933696758
1/1/2020,3.85,2.491632847
6/1/2020,3.28,0.581270976
9/1/2020,2.979,1.332003773
12/1/2020,2.836,1.323012104
1/1/2021,2.7,1.365914885
3/1/2021,3.176,2.554887119
6/1/2021,3.25,5.308076978
9/1/2021,3.16,5.331812962
12/1/2021,3.388,6.985817076
3/1/2022,4.043,8.459524315
6/1/2022,5.256,8.96837148
9/1/2022,5.716,8.189108413
12/1/2022,6.363,6.51667354
3/1/2023,6.557,4.85345472
6/1/2023,6.594,2.971587832
