Date,Close/Last,Volume,Open,High,Low
06/13/2022,$111.76,9516863,$112.45,$114.02,$108.37
06/10/2022,$116.83,7299647,$117.00,$119.64,$115.30
06/09/2022,$118.56,6653439,$120.62,$121.78,$118.43
06/08/2022,$121.86,7010902,$122.72,$124.08,$121.50
06/07/2022,$122.71,8559028,$117.18,$122.71,$117.13
06/06/2022,$117.38,5608362,$118.19,$118.81,$116.62
06/03/2022,$118.12,5387105,$115.45,$118.42,$115.12
06/02/2022,$114.96,5042665,$114.26,$115.95,$113.11
06/01/2022,$115.75,7246645,$114.36,$117.30,$114.18
05/31/2022,$112.36,17278540,$116.23,$117.99,$111.32
05/27/2022,$114.60,6788667,$112.15,$114.60,$111.87
05/26/2022,$113.15,6159020,$112.63,$114.60,$112.18
05/25/2022,$111.20,6706998,$109.95,$111.53,$109.55
05/24/2022,$109.48,6859109,$107.95,$109.98,$106.30
05/23/2022,$109.02,8646902,$106.04,$109.43,$105.77
05/20/2022,$105.02,6717710,$105.13,$107.55,$102.19
05/19/2022,$104.61,6784087,$101.83,$106.71,$101.83
05/18/2022,$104.48,8956954,$107.72,$108.10,$102.76
05/17/2022,$107.02,6577545,$107.08,$108.30,$105.7101
05/16/2022,$105.50,7990622,$103.08,$107.09,$102.64
05/13/2022,$102.91,6549927,$100.83,$103.81,$100.70
05/12/2022,$99.60,7244408,$98.45,$99.66,$95.47
05/11/2022,$99.04,6651649,$99.71,$102.89,$98.8009
05/10/2022,$98.00,7845924,$98.88,$101.52,$95.97
05/09/2022,$97.20,9750874,$105.17,$105.50,$96.48
05/06/2022,$107.69,9213091,$104.17,$107.71,$102.80
05/05/2022,$102.86,10592980,$104.59,$106.585,$100.53
05/04/2022,$103.86,7989800,$101.00,$104.19,$99.11
05/03/2022,$98.93,5748014,$96.68,$99.53,$96.14
05/02/2022,$95.92,6980671,$94.27,$96.05,$92.58
04/29/2022,$95.52,8777670,$97.75,$98.81,$94.92
04/28/2022,$97.55,9521302,$93.04,$98.46,$91.20
04/27/2022,$93.06,6765809,$91.72,$93.93,$88.77
04/26/2022,$91.32,5970304,$92.51,$94.285,$91.30
04/25/2022,$91.66,11913390,$93.00,$93.42,$88.80
04/22/2022,$96.01,6483855,$97.87,$99.45,$95.77
04/21/2022,$98.67,6290572,$103.12,$103.7572,$98.31
04/20/2022,$102.67,6059151,$102.10,$103.47,$101.38
04/19/2022,$101.56,5331654,$102.83,$103.58,$101.02
04/18/2022,$103.47,4867040,$102.71,$104.11,$101.70
04/14/2022,$101.37,6337804,$100.19,$102.38,$99.84
04/13/2022,$100.23,7365086,$101.08,$101.73,$98.92
04/12/2022,$100.00,7412050,$100.05,$101.88,$99.41
04/11/2022,$97.98,7002194,$101.90,$102.00,$97.79
04/08/2022,$103.05,6175229,$100.69,$103.31,$100.53
04/07/2022,$99.96,6285316,$98.73,$100.20,$96.91
04/06/2022,$97.54,5680173,$99.75,$100.17,$96.82
04/05/2022,$98.05,5708085,$100.85,$101.66,$97.90
04/04/2022,$100.55,4947996,$101.41,$101.91,$99.62
04/01/2022,$100.58,6934069,$100.15,$101.66,$99.28
03/31/2022,$100.00,9777896,$100.00,$102.445,$99.40
03/30/2022,$101.10,6069241,$101.34,$102.76,$100.60
03/29/2022,$100.69,10977580,$99.99,$100.94,$97.84
03/28/2022,$103.50,6091062,$105.06,$105.14,$103.01
03/25/2022,$107.50,7834438,$104.17,$107.52,$103.82
03/24/2022,$104.54,6192473,$104.97,$105.85,$103.75
03/23/2022,$104.37,7681542,$103.22,$105.02,$103.19
03/22/2022,$101.77,6377480,$102.67,$102.87,$100.32
03/21/2022,$102.76,8107359,$101.17,$103.97,$100.87
03/18/2022,$99.60,16146890,$99.11,$100.15,$98.47
03/17/2022,$98.83,8868334,$96.65,$99.065,$96.51
03/16/2022,$94.82,9314226,$95.20,$95.76,$94.10
03/15/2022,$95.05,8863644,$92.86,$95.82,$92.32
03/14/2022,$96.55,10532220,$97.38,$97.55,$94.2138
03/11/2022,$98.41,7666506,$98.83,$101.0594,$98.16
03/10/2022,$99.72,9480956,$97.28,$99.825,$96.44
03/09/2022,$96.21,12656210,$95.36,$98.72,$92.76
03/08/2022,$98.80,17231390,$101.51,$104.44,$95.86
03/07/2022,$101.27,13788830,$101.49,$103.77,$99.12
03/04/2022,$100.27,10980740,$97.61,$100.34,$97.441
03/03/2022,$97.41,8704944,$97.20,$98.19,$95.63
03/02/2022,$98.04,16168040,$98.37,$99.97,$97.19
03/01/2022,$96.96,14453520,$95.85,$98.46,$94.80
02/28/2022,$94.86,15095980,$90.67,$95.0699,$89.85
02/25/2022,$91.27,10563010,$88.38,$91.52,$87.82
02/24/2022,$87.73,11509290,$90.00,$90.25,$85.29
02/23/2022,$88.23,7354969,$88.00,$89.48,$87.35
02/22/2022,$87.83,9267484,$92.73,$92.85,$86.42
02/18/2022,$89.63,6574777,$89.61,$90.64,$88.70
02/17/2022,$91.16,6842765,$90.16,$91.85,$90.16
02/16/2022,$90.21,6854358,$89.77,$91.90,$89.635
02/15/2022,$89.68,8381456,$88.68,$89.92,$87.73
02/14/2022,$91.55,7274373,$92.50,$92.72,$90.21
02/11/2022,$93.52,9580809,$91.835,$93.69,$91.35
02/10/2022,$91.91,7149932,$92.24,$94.33,$91.29
02/09/2022,$92.95,6973174,$91.53,$94.04,$91.25
02/08/2022,$91.33,7481571,$91.95,$93.15,$90.00
02/07/2022,$92.94,8420614,$90.42,$94.23,$89.68
02/04/2022,$91.87,12035310,$92.00,$94.93,$91.75
02/03/2022,$90.87,13258510,$92.78,$92.95,$89.47
02/02/2022,$92.21,8803363,$90.45,$92.61,$88.98
02/01/2022,$91.54,9424874,$87.40,$91.885,$87.22
