Date,Close/Last,Volume,Open,High,Low
10/10/2023,368.59,46968810,366.90,371.28,366.39
10/09/2023,366.56,45304770,362.30,367.11,360.78
10/06/2023,364.70,75049120,355.65,365.91,354.85
10/05/2023,358.69,45897390,359.74,360.15,355.14
10/04/2023,359.75,54786690,355.77,360.61,355.30
10/03/2023,354.92,60478490,358.78,361.01,353.275
10/02/2023,361.26,51625050,358.54,362.68,357.92
09/29/2023,358.27,64829620,361.54,362.95,357.02
09/28/2023,358.01,56453310,354.11,360.17,353.24
09/27/2023,355.04,56065970,355.38,356.98,351.36
09/26/2023,354.21,53657750,356.99,357.54,353.2101
09/25/2023,359.61,39167990,356.93,359.70,355.93
09/22/2023,357.91,51589690,359.63,361.80,357.59
09/21/2023,357.86,69734850,360.80,361.60,357.69
09/20/2023,364.54,45514190,370.95,371.31,364.46
09/19/2023,369.87,37621730,369.32,370.6826,366.80
09/18/2023,370.66,36903550,369.32,371.79,369.03
09/15/2023,370.81,69811210,375.91,376.32,369.86
09/14/2023,377.27,48039390,375.99,378.27,373.89
09/13/2023,374.21,46300680,373.03,375.84,371.88
09/12/2023,372.79,41391020,375.27,376.9517,372.50
09/11/2023,376.97,39936630,375.66,377.49,373.66
09/08/2023,372.58,35847360,372.01,374.85,371.60
09/07/2023,372.06,52060720,370.21,372.85,369.15
09/06/2023,374.74,42998740,377.28,377.63,372.70
09/05/2023,378.07,32344220,376.77,379.3093,375.83
09/01/2023,377.59,39801180,380.40,380.83,376.0801
08/31/2023,377.99,35730700,376.94,379.719,376.87
08/30/2023,376.86,41731510,374.88,377.4467,373.86
08/29/2023,374.77,58492370,366.56,375.13,366.231
08/28/2023,366.76,40910020,366.99,367.71,364.25
08/25/2023,364.02,69960470,362.07,365.74,358.58
08/24/2023,361.22,66842490,372.64,372.74,361.01
08/23/2023,369.11,51770600,364.58,370.22,364.36
08/22/2023,363.38,44613510,366.55,366.56,362.68
08/21/2023,363.90,50696520,359.62,364.59,359.15
08/18/2023,358.13,61191390,355.26,359.41,354.71
08/17/2023,358.58,62604340,363.96,364.31,358.16
08/16/2023,362.54,53190530,365.87,367.43,362.44
08/15/2023,366.42,45539890,369.36,370.169,365.74
08/14/2023,370.35,42130800,365.43,370.47,364.70
08/11/2023,366.24,48707190,365.99,368.00,364.69
08/10/2023,368.59,72035270,370.97,374.36,367.035
08/09/2023,367.91,51150900,372.29,372.45,367.14
08/08/2023,372.00,44726450,372.64,372.66,368.82
08/07/2023,375.19,37230440,373.88,375.29,371.51
08/04/2023,372.04,61702760,375.75,378.10,371.53
